,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
279,Kosh-Agach,99,RU,1673850277,91,50.0,88.6667,-5.98,1.63
280,Tortolì,40,IT,1673850277,54,39.9256,9.6572,55.22,5.75
281,Kungurtug,100,RU,1673850127,86,50.5994,97.5228,2.95,3.13
282,Lakatoro,68,VU,1673850278,76,-16.0999,167.4164,82.22,4.21
283,Gillette,100,US,1673849990,92,44.2911,-105.5022,34.72,3.44
284,Benguela,100,AO,1673850278,79,-12.5763,13.4055,76.3,1.36
285,Sobolevo,100,RU,1673850279,95,54.4299,31.8996,28.0,16.28
286,Klyuchi,97,RU,1673850279,89,52.2667,79.1667,14.76,14.88
287,Fortuna,100,US,1673850280,96,40.5982,-124.1573,43.36,8.05
288,Margate,100,GB,1673850280,91,51.3813,1.3862,40.89,1.01
289,Kozármisleny,100,HU,1673850281,93,46.0297,18.2921,41.32,6.91
290,Letterkenny,91,IE,1673850281,76,54.95,-7.7333,35.49,3.18
291,San Cristobal,49,VE,1673850282,95,7.7669,-72.225,64.45,2.24
292,Mubi,16,NG,1673850282,33,10.2676,13.2644,62.31,2.91
293,Quatre Cocos,35,MU,1673850283,68,-20.2078,57.7625,83.08,15.82
294,San Vicente,68,AR,1673850104,94,-26.6167,-54.1333,64.15,0.76
295,Pangnirtung,77,CA,1673850283,88,66.1451,-65.7125,-41.87,5.12
296,Wilmington,0,US,1673850146,84,34.2257,-77.9447,36.86,0.0
297,Batemans Bay,81,AU,1673850284,68,-35.7167,150.1833,74.1,5.95
298,Redmond,100,US,1673850002,91,47.674,-122.1215,46.87,8.01
299,Drayton Valley,100,CA,1673850000,97,53.2168,-114.9854,26.35,4.29
300,Phang Nga,66,TH,1673850284,42,8.4509,98.5298,86.04,2.37
301,College,40,US,1673850285,81,64.8569,-147.8028,-0.45,4.61
302,Pervomays'k,100,UA,1673850285,98,48.0443,30.8507,35.94,13.96
303,Bonthe,69,SL,1673850286,92,7.5264,-12.505,74.28,2.82
304,Baruun-Urt,45,MN,1673850286,67,46.6806,113.2792,2.5,7.09
305,Mattawa,100,US,1673850286,82,46.7379,-119.9028,44.6,2.3
306,Turukhansk,100,RU,1673850080,96,65.8167,87.9833,-16.74,14.05
307,Bellavista,100,PE,1673850287,99,-7.0561,-76.5911,70.29,1.21
308,Madanapalle,8,IN,1673850288,28,13.55,78.5,77.49,4.85
309,Kumano,77,JP,1673850288,74,34.3442,132.5894,50.92,9.37
310,Van,40,TR,1673850288,74,38.4924,43.3831,25.95,3.44
311,Roblin,99,CA,1673850289,98,51.23,-101.3565,10.98,1.23
312,Clyde River,100,CA,1673850270,84,70.4692,-68.5914,-5.57,32.21
313,Naze,98,JP,1673850290,73,28.3667,129.4833,56.32,20.6
314,Igarka,100,RU,1673850290,97,67.4667,86.5833,-20.22,8.88
315,Vuktyl,100,RU,1673850290,93,63.8567,57.3094,20.91,12.06
316,Cabo San Lucas,40,MX,1673850291,69,22.8909,-109.9124,69.51,5.01
317,Tuatapere,34,NZ,1673850291,51,-46.1333,167.6833,72.45,9.22
318,Puerto Ayora,19,EC,1673850292,97,-0.7393,-90.3518,75.54,1.99
319,Ballarat,67,AU,1673850292,11,-37.5662,143.8496,90.57,2.39
320,Dingle,55,PH,1673850292,81,10.9995,122.6711,82.51,7.47
321,Tigre,0,AR,1673850293,52,-34.426,-58.5796,80.6,10.36
322,Payakumbuh,86,ID,1673850293,70,-0.2202,100.6308,81.68,1.63
323,Alta,75,NO,1673850294,100,69.9689,23.2717,15.06,3.44
324,Buala,82,SB,1673850294,74,-8.145,159.5921,83.19,3.13
325,Kaeo,34,NZ,1673850295,83,-35.1,173.7833,65.32,11.54
326,Guadalupe y Calvo,16,MX,1673850295,87,26.1,-106.9667,32.25,4.29
327,Katsuura,100,JP,1673850295,90,35.1333,140.3,51.03,16.64
328,Cayenne,100,GF,1673850149,100,4.9333,-52.3333,69.84,0.0
329,Chokurdakh,6,RU,1673850296,90,70.6333,147.9167,-21.01,11.86
330,Kahului,40,US,1673850296,69,20.8947,-156.47,75.22,5.75
331,Batagay-Alyta,99,RU,1673850297,98,67.8006,130.4114,-34.69,3.98
332,Show Low,100,US,1673850297,88,34.2542,-110.0298,34.09,14.97
333,Balikpapan,40,ID,1673850298,74,-1.2675,116.8289,86.99,2.3
334,San Jerónimo,100,PE,1673850298,82,-11.9472,-75.2829,50.02,0.72
335,Sibolga,89,ID,1673850298,73,1.7427,98.7792,82.94,4.92
336,Narsaq,16,GL,1673850299,54,60.9167,-46.05,7.02,19.6
337,Roald,75,NO,1673850299,75,62.5833,6.1333,39.76,16.11
338,Norman Wells,100,CA,1673850300,77,65.282,-126.8329,-3.96,4.61
339,Berthierville,18,CA,1673850300,95,46.0834,-73.1824,19.35,7.05
340,Ṭikāpur,82,NP,1673850301,51,28.5,81.1333,62.46,4.74
341,Basco,100,PH,1673850301,76,20.4487,121.9702,71.87,34.25
342,Hofn,100,IS,1673850302,59,64.2539,-15.2082,24.69,20.8
343,Oussouye,57,SN,1673850302,68,12.485,-16.5469,62.69,1.25
344,Hualmay,100,PE,1673850303,80,-11.0964,-77.6139,69.37,4.83
345,Port Blair,40,IN,1673850304,61,11.6667,92.75,82.44,10.36
346,Poltavka,70,RU,1673850304,74,54.3663,71.7632,16.83,18.14
347,Mahibadhoo,96,MV,1673850305,69,3.7833,72.9667,79.75,5.5
348,Shubarkuduk,0,KZ,1673850306,73,49.1447,56.4872,6.98,6.78
349,Adana Province,75,TR,1673850306,82,36.985,35.2881,51.82,11.5
350,Oriximiná,100,BR,1673850307,93,-1.7656,-55.8661,72.46,1.99
351,Kudahuvadhoo,89,MV,1673850307,70,2.6708,72.8944,79.43,3.94
352,Ruteng,98,ID,1673850308,71,-8.6136,120.4721,72.54,4.68
353,Qinhuangdao,0,CN,1673850309,23,39.9317,119.5883,29.14,15.79
354,Coyhaique,0,CL,1673850311,71,-45.5752,-72.0662,50.61,3.44
355,Birao,31,CF,1673850311,23,10.2849,22.7882,69.75,9.82
356,Husavik,100,IS,1673850313,93,66.0449,-17.3389,24.48,18.48
357,Jega,73,NG,1673850314,24,12.2175,4.3792,62.69,10.71
358,Jinchang,100,CN,1673850314,47,38.4953,102.1739,16.29,5.1
359,City of San Pedro,75,PH,1673850257,71,14.35,121.0167,85.23,5.75
360,Olafsvik,14,IS,1673850316,70,64.8945,-23.7142,23.94,16.67
361,Flinders,93,AU,1673850317,72,-34.5833,150.8552,80.19,5.01
362,Ahipara,80,NZ,1673850317,84,-35.1667,173.1667,65.52,8.1
363,Uporovo,77,RU,1673850318,74,56.3109,66.2693,18.01,15.68
364,Diffa,61,NE,1673850319,42,13.3154,12.6113,60.58,9.31
365,Leer,29,SS,1673850319,18,8.3018,30.1418,78.78,10.02
366,Maniitsoq,100,GL,1673850320,87,65.4167,-52.9,0.64,25.14
367,Guarapari,94,BR,1673850321,93,-20.6667,-40.4975,73.89,8.41
368,Ostrovnoy,100,RU,1673850321,86,68.0531,39.5131,32.63,25.23
369,Haddington,98,GB,1673850322,87,55.9561,-2.7833,30.42,8.01
370,Rawson,4,AR,1673850323,66,-43.3002,-65.1023,61.43,17.81
371,Njombe,100,TZ,1673850323,97,-9.3333,34.7667,57.04,3.42
372,San Carlos,26,VE,1673850324,71,9.6612,-68.5827,72.82,4.18
373,Oranjemund,97,NA,1673850325,82,-28.55,16.4333,64.45,4.85
374,Maneromango,93,TZ,1673850326,80,-7.1988,38.7848,77.07,7.92
375,Tutóia,99,BR,1673850327,86,-2.7619,-42.2744,76.91,7.52
376,Kadrina,100,EE,1673850328,87,59.3347,26.145,36.7,18.86
377,Zhaozhou,41,CN,1673850329,47,45.6833,125.3167,8.42,7.31
378,Carutapera,100,BR,1673850330,98,-1.195,-46.02,71.83,2.59
379,Concordia,0,AR,1673850331,68,-31.393,-58.0209,67.78,5.06
380,Kimbe,87,PG,1673850332,73,-5.5502,150.1429,84.15,5.88
381,Conceição do Araguaia,98,BR,1673850333,94,-8.2578,-49.2647,71.82,2.06
382,Atasū,52,KZ,1673850334,82,48.6814,71.6433,0.34,2.28
383,Namtsy,100,RU,1673850335,93,62.7161,129.6658,-45.26,4.09
384,Pisco,0,PE,1673850324,77,-13.7,-76.2167,68.05,3.44
385,Ryōtsu-minato,100,JP,1673850336,66,38.0833,138.4333,38.84,13.65
386,Am Timan,49,TD,1673850336,29,11.0297,20.2827,70.14,5.19
387,Manokwari,100,ID,1673850337,72,-0.8667,134.0833,82.92,6.91
388,Shingū,84,JP,1673850337,57,33.7333,135.9833,53.37,8.41
389,Faya,5,SA,1673850338,59,18.3851,42.4509,57.31,4.41
390,Purpe,99,RU,1673850338,94,64.4803,76.6897,15.58,13.38
391,Asău,74,RO,1673850338,74,46.4333,26.4,29.32,4.72
392,Oktyabr'skoye,100,RU,1673850339,85,43.0645,44.7417,10.54,0.0
393,Henties Bay,90,NA,1673850339,90,-22.116,14.2845,67.06,6.33
394,Phuket,20,TH,1673850284,62,8.0,98.25,86.22,12.66
395,Vestmanna,75,FO,1673850340,69,62.1564,-7.1664,31.12,28.77
396,Menzelinsk,60,RU,1673850340,92,55.7271,53.1026,0.77,5.12
397,Līsakovsk,11,KZ,1673850340,73,52.5369,62.4936,2.16,6.78
398,Visnes,75,NO,1673850341,93,59.3556,5.2242,35.22,5.75
399,Udachny,62,RU,1673850257,99,66.4167,112.4,-59.19,3.6
400,Zhigansk,100,RU,1673850341,94,66.7697,123.3711,-42.77,2.04
401,Beyneu,99,KZ,1673850342,57,45.3167,55.2,28.2,15.03
402,Meiktila,0,MM,1673850252,26,20.8667,95.8667,80.11,4.23
403,Nsanje,89,MW,1673850342,81,-16.92,35.262,79.86,2.33
404,Viedma,2,AR,1673850343,63,-40.8135,-62.9967,60.21,9.35
405,Kirakira,100,SB,1673850343,75,-10.4544,161.9205,81.86,2.89
406,Santiago,0,CL,1673850172,49,-33.4569,-70.6483,69.85,6.91
407,Conceição da Barra,88,BR,1673850344,90,-18.5933,-39.7322,72.48,0.83
408,Canindé de São Francisco,70,BR,1673850063,95,-9.66,-37.7894,69.55,3.09
409,Jaswantnagar,1,IN,1673850344,33,26.8786,78.9028,58.35,5.77
410,Santa Cruz de la Sierra,20,BO,1673850252,94,-17.8,-63.1667,69.26,3.44
411,Santa Marta,22,CO,1673850345,84,11.2408,-74.199,75.92,13.42
412,Winsum,91,NL,1673850345,92,53.33,6.5208,39.97,9.69
413,Tromsø,0,NO,1673850346,80,69.6496,18.957,26.38,3.44
414,Bubaque,55,GW,1673850346,72,11.2833,-15.8333,76.42,6.55
415,Kamsack,87,CA,1673850347,100,51.5667,-101.9009,-0.04,4.0
416,Dmitriyevka,20,RU,1673850347,79,54.75,55.3333,-6.25,6.67
417,Manzini,64,SZ,1673850348,76,-26.25,31.5,75.54,2.01
418,Yeppoon,100,AU,1673850348,94,-23.1333,150.7333,73.18,21.09
419,Kanniyākumāri,94,IN,1673850349,58,8.0833,77.5667,80.47,14.67
420,Progreso,0,MX,1673850349,77,21.2833,-89.6667,62.71,13.33
421,Pemba,75,MZ,1673850349,89,-12.974,40.5178,81.3,4.61
422,Sergeevka,47,KZ,1673850350,75,53.88,67.4158,11.05,11.14
423,Prince Rupert,100,CA,1673850350,100,54.3161,-130.3201,41.09,8.05
424,Lorengau,73,PG,1673850351,70,-2.0226,147.2712,83.14,2.01
425,Masunga,10,BW,1673850351,60,-20.6246,27.4488,72.48,14.74
426,Vila do Maio,100,CV,1673850351,71,15.1333,-23.2167,74.26,11.74
427,Kambove,100,CD,1673850352,99,-10.8764,26.5969,60.76,1.32
428,Ternate,96,ID,1673850352,69,0.8,127.4,84.36,7.4
429,Omboué,100,GA,1673850353,86,-1.5746,9.2618,76.75,2.28
430,Manavālakurichi,69,IN,1673850353,51,8.1333,77.3,82.71,3.89
431,Kadhan,23,PK,1673850353,11,24.481,68.9859,67.44,7.74
432,Balgazyn,100,RU,1673850354,85,51.0,95.2,5.29,2.75
433,Sampit,82,ID,1673850354,45,-2.5333,112.95,92.44,4.12
434,Barreirinhas,100,BR,1673850355,92,-2.7469,-42.8264,74.68,3.42
435,Sirte,42,LY,1673850355,75,31.2089,16.5887,56.8,12.3
436,Nicolás Bravo,37,MX,1673850355,92,18.45,-88.9167,60.91,1.57
437,Moose Factory,100,CA,1673850356,43,51.2585,-80.6094,33.8,10.36
438,Timrå,100,SE,1673850356,93,62.487,17.3257,29.88,11.5
439,Vestmannaeyjar,1,IS,1673850357,66,63.4427,-20.2734,23.25,10.11
440,Marzuq,73,YE,1673850357,35,14.4,46.4667,70.03,2.13
441,Mandan,100,US,1673850357,92,46.8267,-100.8896,33.78,6.91
442,Mabaruma,41,GY,1673850358,95,8.2,-59.7833,70.79,2.62
443,Lethem,99,GY,1673850358,89,3.3803,-59.7968,73.4,9.51
444,Garoowe,6,SO,1673850359,62,8.4054,48.4845,71.91,16.62
445,Sars,71,RU,1673850359,87,56.5502,57.1366,5.45,8.79
446,Lusaka,97,ZM,1673850359,86,-15.4067,28.2871,66.52,6.49
447,Sibut,64,CF,1673850360,31,5.718,19.0739,73.85,2.46
448,Inhambane,75,MZ,1673850360,74,-23.865,35.3833,85.98,12.66
449,Dunedin,5,NZ,1673850361,69,-45.8742,170.5036,66.13,10.38
450,Gouré,100,NE,1673850361,26,13.9835,10.2704,56.84,9.91
451,Duluth,100,US,1673850346,86,46.7833,-92.1066,34.38,8.05
452,Egvekinot,75,RU,1673850362,83,66.3167,-179.1667,-17.01,21.7
453,Santarém,40,BR,1673850362,94,-2.4431,-54.7083,77.13,3.44
454,Biak,83,ID,1673850363,67,-0.9131,122.8766,84.31,1.88
455,Maceió,20,BR,1673850072,94,-9.6658,-35.7353,74.64,2.3
456,Paraíso,94,CR,1673850363,100,9.8383,-83.8656,63.46,4.12
457,Miramar,0,US,1673850211,76,25.9873,-80.2323,46.99,0.0
458,Coffs Harbour,75,AU,1673850209,61,-30.3,153.1333,78.76,9.22
459,Sittwe,0,MM,1673850364,42,20.15,92.9,77.81,9.31
460,Palmer,100,US,1673850364,77,42.1584,-72.3287,32.14,19.57
461,Vila Franca do Campo,21,PT,1673850365,82,37.7167,-25.4333,52.21,4.83
462,São Domingos,14,BR,1673850365,90,-13.3983,-46.3183,66.25,5.28
463,Anadyr,0,RU,1673850366,76,64.75,177.4833,-7.01,13.0
464,Tsimmerbude,81,RU,1673850341,83,54.675,20.1347,37.45,18.28
465,Nalobikha,100,RU,1673850366,90,53.2006,84.6039,11.48,14.97
466,Birin,33,NP,1673850367,56,26.8865,88.0718,42.8,5.73
467,North Platte,100,US,1673850367,89,41.1239,-100.7654,35.49,10.0
468,PEMEX,0,MX,1673850367,91,18.4395,-96.3461,61.29,3.42
469,Kofelē,0,ET,1673850368,43,7.0667,38.7833,54.95,4.7
470,Ust'-Karsk,98,RU,1673850368,87,52.7011,118.8077,-7.19,1.68
471,Meulaboh,70,ID,1673850369,65,4.1363,96.1285,85.05,8.01
472,Barra de Tecoanapa,0,MX,1673850369,87,16.5167,-98.75,73.72,3.94
473,Luanda,75,AO,1673850370,88,-8.8368,13.2343,77.0,5.75
474,Makakilo City,75,US,1673850370,82,21.3469,-158.0858,75.52,3.44
475,Beidao,100,CN,1673850370,33,34.5686,105.8933,29.19,5.61
476,Muli,37,MV,1673850371,70,2.9167,73.5667,79.99,4.72
477,Jieshi,90,CN,1673850371,59,22.8134,115.8257,56.61,8.59
478,Devarkonda,0,IN,1673850372,31,16.7,78.9333,81.54,7.31
479,Muros,100,ES,1673850372,90,42.7762,-9.0603,56.08,27.34
480,Dikson,5,RU,1673850372,93,73.5069,80.5464,-34.49,4.74
481,Chifeng,0,CN,1673850373,25,42.2683,118.9636,22.51,12.57
482,Qui Nhon,7,VN,1673850373,77,13.7667,109.2333,76.35,13.58
483,Elizabeth City,0,US,1673850374,73,36.2946,-76.2511,35.62,4.0
484,Sorong,98,ID,1673850374,71,-0.8833,131.25,83.91,8.79
485,Dillon,12,US,1673850374,43,34.4166,-79.3712,34.25,2.42
486,Mongu,100,ZM,1673850375,90,-15.2484,23.1274,68.32,4.81
487,Vengerovo,100,RU,1673850375,90,55.6848,76.7471,11.23,13.76
488,Tazovsky,97,RU,1673850376,95,67.4667,78.7,-13.2,12.48
489,Koumac,97,NC,1673850376,80,-20.5667,164.2833,78.91,4.92
490,Lufilufi,55,WS,1673850377,79,-13.8745,-171.5986,78.58,9.4
491,The Valley,1,AI,1673850377,73,18.217,-63.0578,76.1,4.14
492,Dukat,100,RU,1673850378,96,62.55,155.55,-26.12,3.8
493,Souillac,75,MU,1673850378,69,-20.5167,57.5167,82.78,17.27
494,Nizhniy Tsasuchey,100,RU,1673850379,71,50.5167,115.1333,9.41,14.67
495,Tarko-Sale,99,RU,1673850379,96,64.9225,77.785,11.17,8.1
496,Adelaide,0,AU,1673850252,18,-34.9333,138.6,100.04,13.8
497,Helena,100,US,1673850274,93,46.5927,-112.0361,34.18,1.01
498,Salalah,75,OM,1673850380,69,17.0151,54.0924,77.09,4.61
499,Palekastro,8,GR,1673850380,72,35.2,26.25,55.33,8.05
500,Amazar,77,RU,1673850381,84,53.858,120.875,-12.14,1.83
501,Tual,94,ID,1673850381,71,-5.6667,132.75,83.75,4.12
502,Nara,98,JP,1673850382,33,34.6851,135.8049,51.17,13.91
503,Udaipur,8,IN,1673850382,18,24.5712,73.6918,59.9,6.58
504,Gizo Government Station,75,SB,1673850382,70,-8.103,156.8419,84.99,6.31
505,Chabahar,1,IR,1673850383,31,25.2919,60.643,66.52,4.83
506,Hazorasp,21,UZ,1673850383,54,41.3194,61.0742,21.04,11.45
507,Saint-Paul,75,RE,1673850384,65,-21.0096,55.2707,87.91,4.25
508,Gilgit,1,PK,1673850384,53,35.9221,74.3087,22.28,3.76
509,San Miguelito,75,PA,1673850384,86,9.0333,-79.5,76.78,4.61
510,San Andrés,20,CO,1673850385,65,12.5847,-81.7006,78.82,13.8
511,Sangerhausen,92,DE,1673850385,82,51.4667,11.3,39.56,12.21
512,Vikhorevka,100,RU,1673850386,87,56.1201,101.1636,1.24,10.09
513,Dali,0,CN,1673850386,31,25.7,100.1833,57.04,9.06
514,Great Falls,100,US,1673850113,98,47.5002,-111.3008,32.67,4.61
515,Manado,40,ID,1673850387,62,1.487,124.8455,90.37,6.91
516,Krasnosel'kup,100,RU,1673850387,96,65.7,82.4667,-6.75,15.35
517,Skjervøy,100,NO,1673850388,69,70.0311,20.9714,23.0,14.23
518,Riverton,100,US,1673850388,92,40.5219,-111.9391,35.83,5.75
519,Urmia,75,IR,1673850388,86,37.5527,45.0761,31.55,0.0
520,Madimba,97,TZ,1673850389,79,-10.4,40.3333,80.62,7.74
521,Praia,100,CV,1673850389,76,14.9215,-23.5087,72.16,11.01
522,San Jose,100,US,1673850323,91,37.3394,-121.895,48.25,8.05
523,Paamiut,100,GL,1673850390,75,61.994,-49.6678,11.43,18.63
524,Aspe,0,ES,1673850390,44,38.3451,-0.7672,54.88,8.05
525,La Asuncion,3,VE,1673850391,94,11.0333,-63.8628,76.73,11.5
526,Ilhabela,100,BR,1673850391,92,-23.7781,-45.3581,74.98,2.15
527,Road Town,4,VG,1673850303,80,18.4167,-64.6167,77.09,17.25
528,Havøysund,100,NO,1673850392,83,70.9963,24.6622,32.23,10.29
529,Kenai,40,US,1673850392,89,60.5544,-151.2583,31.14,16.11
530,Bitung,47,ID,1673850393,73,1.4451,125.1824,90.45,3.62
531,Boqueirão,100,BR,1673850393,92,-7.5,-36.1333,71.15,4.63
532,Boyolangu,59,ID,1673850393,71,-8.1181,111.8935,84.72,7.43
533,Verāval,3,IN,1673850394,26,20.9,70.3667,70.45,5.73
534,Ilulissat,100,GL,1673850394,72,69.2167,-51.1,10.42,17.27
535,Sandwick,40,GB,1673850395,86,60.0,-1.25,30.02,9.22
536,Itaueira,100,BR,1673850291,65,-7.6033,-43.0256,74.48,2.62
537,Dawei,4,MM,1673850395,47,14.0833,98.2,84.56,7.49
538,Abancay,100,PE,1673850396,92,-13.6339,-72.8814,54.34,2.68
539,Richards Bay,9,ZA,1673850396,71,-28.783,32.0377,79.54,5.73
540,Tautira,100,PF,1673850396,80,-17.7333,-149.15,75.4,15.95
541,Central Point,0,US,1673850137,85,42.376,-122.9164,37.9,3.44
542,Bambanglipuro,100,ID,1673850397,68,-7.95,110.2833,84.61,10.02
543,Fremont,100,US,1673850324,92,37.5483,-121.9886,48.38,8.05
544,Ovča,0,RS,1673850398,79,44.8835,20.5334,41.97,9.22
545,Labuhan,95,ID,1673850398,70,-6.8844,112.2051,85.23,11.43
546,Khanbari,45,NP,1673850398,46,27.3747,87.2039,62.47,5.23
547,Novo Cruzeiro,82,BR,1673850399,99,-17.4681,-41.8753,61.43,1.72
548,Bourail,98,NC,1673850399,68,-21.5667,165.4833,79.38,8.46
549,Valentín Gómez Farías,79,MX,1673850400,44,28.2167,-106.5833,46.58,15.14
550,Sisimiut,99,GL,1673850400,91,66.9395,-53.6735,2.25,25.88
551,Vung Tau,0,VN,1673850401,67,10.346,107.0843,82.11,6.64
552,Bathsheba,40,BB,1673850401,78,13.2167,-59.5167,77.61,9.22
553,Aksu,12,CN,1673850401,79,41.1231,80.2644,10.08,2.98
554,Denpasar,75,ID,1673850381,74,-8.65,115.2167,89.26,10.36
555,Wamba,2,NG,1673850402,25,8.9333,8.6,67.64,2.77
556,Banda Aceh,42,ID,1673850402,75,5.5577,95.3222,81.91,11.83
557,Kortkeros,100,RU,1673850403,91,61.8106,51.5806,23.0,10.76
558,Acapulco de Juárez,20,MX,1673850162,83,16.8634,-99.8901,76.82,3.44
559,Chernyshevskiy,86,RU,1673850403,98,63.0128,112.4714,-52.47,1.41
